Title,Authors,Abstract,Funder,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Journal,ISSN,Publisher,Pages,Subjects,Type
Long-term projections of food production and demand,"Wiebe, Keith D.; Sulser, Timothy; Cenacchi, Nicola",,,English,,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8487,2022,Foresight: The International Journal of Applied Forecasting,1555-9068,International Institute of Forecasters,"Foresight: The International Journal of Applied Forecasting 66: Pp, 38-44",modeling; food demand; food supply; organizations; tools; food production; food security; climate; environmental conditions; socioeconomics; resource management; economic development; prices; nutrition; malnutrition; commodities; trade; food supply; food security; climate change; technological changes; commodity markets; impact model; international food policy research institute,Journal article
Long-term projections of water supply and demand,"Xie, Hua; Ringler, Claudia",,,English,,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8650,2023,Foresight: The International Journal of Applied Forecasting,1555-9068,International Institute of Forecasters,Foresight: The International Journal of Applied Forecasting 69: 43-48,agricultural research; hydrological cycle; research; supply balance; water supply; commodities; trade; food supply; food security; climate change; technological changes; commodity markets,Journal article
Low emission development strategies in agriculture,"De Pinto, Alessandro; Li, Man; Haruna, Akiko; Hyman, Glenn Graham; Martinez, Mario Andrés Londoño; Creamer, Bernardo; Kwon, Ho Young; Garcia, Jhon Brayan Valencia; Tapasco, Jeimar; Martinez, Jesus David",,,English,10.1016/j.worlddev.2016.06.013,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5440,2016,World Development,,,World Development 87(2016): 180 - 203,commodities; trade; food supply; food security; climate change; technological changes; commodity markets; resource management; economic development; prices; nutrition; malnutrition; land use change; low emission development; afolu,Journal article
Maize systems under climate change in sub-Saharan Africa,"Tesfaye, Kindie; Gbebgelegbe, Sika; Cairns, Jill E.; Shiferaw, Bekele; Prasanna, Boddupalli; Sonder, Kai; Boote, Kenneth J.; Makumbi, Dan; Robertson, Richard D.",,,English,10.1108/ijccsm-01-2014-0005,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5031,2015,International Journal of Climate Change Strategies and Management,,,International Journal of Climate Change Strategies and Management 7(3): 247 - 271,climate change; food security; maize; climate change impact; maize production; bioeconomic modeling,Journal article
Making climate change adaptation programmes in sub-Saharan Africa more gender responsive: Insights from implementing organizations on the barriers and opportunities,"Bryan, Elizabeth; Bernier, Quinn; Espinal, Marcia; Ringler, Claudia",,"Department for International Development, DfID",English,10.1080/17565529.2017.1301870,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5959,2018,Climate and Development,,,Climate and Development 10(5): 417-431,gender; adaptation; capacity building; information exchange; climate change adaptation; knowledge-sharing,Journal article
Managing climate change risk in China's agricultural sector,"Chen, Kevin Z.; Hsu, Claire",,,English,10.1016/s2095-3119(14)60820-0,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4642,2014,Journal of Integrative Agriculture,,,Journal of Integrative Agriculture 13(7): 1418-1431,climate change; food security; risk management; agricultural development,Journal article
Managing climate risk through crop diversification in rural Kenya,"Ochieng, Justus; Kirimi, Lilian; Ochieng, Dennis O.; Njagi, Timothy; Mathenge, Mary; Gitau, Raphael; Ayieko, Miltone",,United States Agency for International Development USAID,English,10.1007/s10584-020-02727-0,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7222,2020,Climatic Change,0165-0009,Springer,Climatic Change 162: 1107–1125,crops; diversification; climate change; weather hazards; rural areas; food security; food production; agricultural productivity; climate risk; crop diversification; climatic variability,Journal article
Maximizing nutrition in key food value chains of Mongolia under climate change,"Dagys, Kadirbyek; Bakyei, Agipar; Tsolmon, Soninkhishig; Ringler, Claudia; Bellisario, Kristen; Fanzo, Jessica","Mongolia’s projected warming is far above the global average and could exceed 5 °C by the end of the century. The reliance on pastoral livestock and rainfed agriculture along with its fragile ecosystems put Mongolia’s economy at risk of adverse climate change impacts, particularly from climate extreme events. Eighty percent of Mongolia’s agricultural sector is concentrated in animal husbandry with around one third of the population relying on this livelihood. Beyond livestock, food production is concentrated in few crops: wheat; potatoes; and three vegetables (cabbage, carrot, and turnip). Climate change does not only affect food production but can exacerbate malnutrition by removing food and nutrients in all stages of the food value chain. To identify perceived effects of climate change and measures to reduce climate change impacts in Mongolia's’s key food value chains, we implemented focus group discussions with 214 livestock and vegetable producers, traders, and food consumers. We also conducted 30 key informant interviews at the soum, provincial, and national levels across four agroecosystems in three provinces. Based on this community engagement analysis, we identify interventions that the government and private sector, including herders and farmers, should undertake to increase the food security and nutrition of the country’s prioritized food value chains under climate change.",UNICEF; United Nations; Food and Agriculture Organization of the United Nations (FAO),English,10.1016/j.foodpol.2023.102468,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8701,2023,Food Policy,0306-9192 0306-9192,Elsevier,Food Policy 117(May 2023): 102468,agriculture; climate change; climate change mitigation; economic aspects; ecosystems; foods; global warming; livestock; nutrition; potatoes; research; value chains; wheat,Journal article
Meeting the looming policy challenge of sea-level change and human migration,"Wrathall, D. J.; Mueller, Valerie; Clark, P. U.; Bell, Andrew; Oppenheimer, M.",,National Science Foundation,English,10.1038/s41558-019-0640-4,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6945,2019,Nature Climate Change,1758-678X,Nature Publishing Group,Nature Climate Change 9(December 2019): 898–901,sea level; migrants; migration; policies; greenhouse gas emissions; environment; climate change; coastal zones; models; environmental policies; human mobility; coastal risk; sea level change,Journal article
Microinsurance decisions: Gendered evidence from rural Bangladesh,"Clarke, Daniel J.; Kumar, Neha",,,English,10.1177/0971852416639784,Open Access,https://creativecommons.org/licenses/by-nc/3.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5631,2016,"Gender, Technology and Development",,,"Gender, Technology and Development 20(2): 218 - 241",gender; women; climate change; assets; insurance; risk; resilience; environmental shocks; willingness to pay; index insurance; risk preference,Journal article
